ID_Aluno,Idade,Disponibilidade_3_Meses,capital,Computador,Móvel Próprio,Móvel Compartilhado,4G,Wifi,Redes_sociais,Propaganda,Anuncio_CE,indicacao,Outro,Trabalha_Estuda,Trabalha_meses,Disponivel,renda_percapita,dias_espera_inicio_0-40,dias_espera_inicio_40-60,dias_espera_inicio_60-80,dias_espera_inicio_80-100,dias_espera_inicio_100+,Tipo_escola_scholarship,Escolaridade_Cursando o Ensino Superior,Escolaridade_Ensino Médio concluído,Escolaridade_Ensino Médio concluído e não estudando,Escolaridade_Ensino Superior concluído,Estado_RS,Estado_SC,Estado_SP,Trabalhando_Sim,Estudando_Sim,Concluiu_EAD_1,Aprender_EAD_Muito eu tenho uma rotina definida para participar de cursos a distância,Aprender_EAD_Não sei dizer,Aprender_EAD_Quase nada,Disponibilidade_Tutoria_Sim,Renda_Familiar_Entre 1 e 2 salários mínimos (R$1.100 – R$2.200),Renda_Familiar_Entre 2 e 3 salários mínimos (R$2.200 – R$3.300),Renda_Familiar_Entre 3 e 4 salários mínimos (R$3.300 – R$4.400),Renda_Familiar_Entre 4 e 5 salários mínimos (R$4.400 – R$5.500),Renda_Familiar_Mais que 5 salários mínimos (mais que R$5.500),Horario_Estudando_Já concluí,Horario_Estudando_Manhã,Horario_Estudando_Noite,Horario_Estudando_Tarde,Faixa_Pessoas_Casa_Pessoas_Casa_4-6,Faixa_Pessoas_Casa_Pessoas_Casa_7-10,Faixa_Pessoas_Casa_Pessoas_Casa_Mais_que_10
38,0.23076923076923084,0.0,1.0,0,1,0,1,1,0,1,0,0,0,0,0,1,0.031774193548387106,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
39,0.15384615384615374,0.0,0.0,1,0,1,1,1,0,1,0,0,0,0,0,1,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
47,0.3076923076923077,0.0,0.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.12358870967741938,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
49,0.3076923076923077,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,1,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
57,0.15384615384615374,0.0,1.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.11693548387096776,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
58,0.23076923076923084,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.031774193548387106,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
59,0.4615384615384617,0.0,1.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.031774193548387106,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
67,0.07692307692307687,0.0,1.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.2633064516129033,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
68,0.4615384615384617,0.0,1.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.04375,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
69,0.15384615384615374,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
77,0.15384615384615374,0.0,1.0,1,1,0,1,1,0,1,0,0,0,1,1,1,0.18346774193548387,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
78,0.07692307692307687,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.08366935483870969,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
79,0.23076923076923084,0.0,0.0,1,1,0,1,1,1,0,0,0,0,0,0,1,0.020161290322580645,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
87,0.23076923076923084,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.12903225806451613,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
88,0.07692307692307687,0.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.012903225806451615,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
89,0.15384615384615374,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
97,0.07692307692307687,0.0,0.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.08366935483870969,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
98,0.15384615384615374,0.0,1.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.11693548387096776,0.0,0.0,0.0,0.0,1.0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
99,0.15384615384615374,0.0,1.0,1,1,0,0,1,1,0,0,0,0,0,0,1,0.031774193548387106,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
107,0.15384615384615374,0.0,1.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
108,0.3076923076923077,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.1870967741935484,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0
109,0.23076923076923084,0.0,0.0,1,1,0,1,1,1,0,0,0,0,0,1,1,0.10362903225806452,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
117,0.3076923076923077,0.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.008064516129032258,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
118,0.15384615384615374,0.0,1.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.12358870967741938,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
119,0.15384615384615374,0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
127,0.3076923076923077,0.0,0.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
128,0.07692307692307687,0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.020161290322580645,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
129,0.23076923076923084,0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.04375,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
137,0.23076923076923084,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.04375,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
138,0.3076923076923077,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.11693548387096776,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
139,0.3076923076923077,0.0,1.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.04375,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
147,0.15384615384615374,0.0,0.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.04375,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
148,0.3076923076923077,0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
149,0.23076923076923084,0.0,1.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.11693548387096776,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
157,0.15384615384615374,0.0,1.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.08366935483870969,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
158,0.23076923076923084,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
159,0.4615384615384617,0.0,1.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.17016129032258065,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
167,0.15384615384615374,0.0,1.0,0,1,0,1,1,0,1,0,0,0,0,0,1,0.04089861751152074,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
168,0.23076923076923084,0.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.031774193548387106,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
169,0.3076923076923077,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.08366935483870969,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
177,0.3076923076923077,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
178,0.3076923076923077,0.0,1.0,1,1,0,1,1,1,0,0,0,0,0,0,1,0.04375,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
179,0.3846153846153846,0.0,1.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.031774193548387106,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
187,0.15384615384615374,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.10362903225806452,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
188,0.07692307692307687,0.0,1.0,1,0,0,0,1,1,0,0,0,0,0,0,1,0.05645161290322581,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
189,0.07692307692307687,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
197,0.3076923076923077,0.0,0.0,1,1,0,0,0,0,1,0,0,0,1,1,1,0.004608294930875577,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
198,0.23076923076923084,0.0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.020161290322580645,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
199,0.4615384615384617,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.10362903225806452,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
207,0.15384615384615374,0.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.05645161290322581,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
208,0.15384615384615374,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.031774193548387106,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
209,0.3846153846153846,0.0,1.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
217,0.15384615384615374,0.0,0.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.012903225806451615,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
218,0.15384615384615374,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.12358870967741938,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
219,0.3076923076923077,0.0,1.0,1,1,0,0,1,1,0,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
227,0.07692307692307687,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.012903225806451615,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
228,0.23076923076923084,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.04375,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
229,0.3076923076923077,0.0,1.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.031774193548387106,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
237,0.07692307692307687,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
238,0.23076923076923084,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.031774193548387106,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
239,0.15384615384615374,0.0,1.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
247,0.3846153846153846,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
248,0.3846153846153846,0.0,1.0,1,1,0,1,1,1,0,0,0,0,0,0,1,0.04375,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
249,0.23076923076923084,0.0,0.0,1,1,0,1,1,1,0,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
257,0.15384615384615374,0.0,1.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.05645161290322581,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
258,0.3076923076923077,0.0,1.0,1,1,0,1,0,1,0,0,0,0,0,0,1,0.12358870967741938,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
259,0.07692307692307687,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.07701612903225807,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
267,0.15384615384615374,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.22580645161290325,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
268,0.07692307692307687,0.0,1.0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
269,0.15384615384615374,0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.08366935483870969,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
277,0.15384615384615374,0.0,1.0,0,1,0,1,1,1,0,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
278,0.4615384615384617,0.0,0.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.12903225806451613,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
279,0.3076923076923077,0.0,0.0,1,1,0,1,1,1,0,0,0,0,0,0,1,0.12903225806451613,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
287,0.3076923076923077,0.0,1.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.012903225806451615,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
288,0.07692307692307687,0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.03225806451612903,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
289,0.15384615384615374,0.0,1.0,1,1,0,1,1,0,1,0,0,0,1,1,1,0.04375,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
297,0.15384615384615374,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.11693548387096776,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
298,0.07692307692307687,0.0,1.0,1,1,0,1,1,0,1,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
299,0.15384615384615374,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.04375,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
307,0.07692307692307687,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.020161290322580645,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
308,0.07692307692307687,0.0,1.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.06370967741935485,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
309,0.15384615384615374,0.0,0.0,0,1,0,0,1,0,1,0,0,0,0,0,1,0.12903225806451613,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
317,0.15384615384615374,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.32258064516129037,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
318,0.07692307692307687,0.0,0.0,1,1,0,0,1,0,1,0,0,0,0,0,1,0.11693548387096776,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
319,0.15384615384615374,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.020161290322580645,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
327,0.07692307692307687,0.0,0.0,0,1,0,1,1,0,1,0,0,0,0,0,1,0.020161290322580645,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
328,0.15384615384615374,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.020161290322580645,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
